Item and Type              Description                                                                                                                                                                                                                                            Sizes Available                                 Price     Color
-------------------------- -----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------  ----------------------------------------------- --------- -----------
Bamboo thermal ski jacket  You’ll be the most environmentally conscious skier on the slopes - and the most stylish - wearing our fitted bamboo thermal ski coat, made from organic bamboo with recycled plastic down filling.                                                     Women’s P, S, M, L, XL                          128.00    rose
Cross-back training tank   Our cross-back training tank is made from organic cotton with 10% Lycra for form and support, and a flattering feminine cut.                                                                                                                           Women’s P, S, M, L, XL                          35.00     lavender
Cross-back training tank   Our cross-back training tank is made from organic cotton with 10% Lycra for form and support, and a flattering feminine cut.                                                                                                                           Women’s P, S, M, L, XL                          35.00     black
Cross-back training tank   Our cross-back training tank is made from organic cotton with 10% Lycra for form and support, and a flattering feminine cut.                                                                                                                           Women’s P, S, M, L, XL                          35.00     navy
Cross-back training tank   Our cross-back training tank is made from organic cotton with 10% Lycra for form and support, and a flattering feminine cut.                                                                                                                           Women’s P, S, M, L, XL                          35.00     gray
Cross-back training tank   Our cross-back training tank is made from organic cotton with 10% Lycra for form and support, and a flattering feminine cut.                                                                                                                           Women’s P, S, M, L, XL                          35.00     mint
Cross-back training tank   Our cross-back training tank is made from organic cotton with 10% Lycra for form and support, and a flattering feminine cut.                                                                                                                           Women’s P, S, M, L, XL                          35.00     gray
Polo shirt                 Our pre-shrunk organic cotton polo shirt is perfect for weekend activities, lounging around the house, and casual days at the office. With its triple-stitched sleeves and waistband, our polo has maximum durability.                                 Men’s S, M, L, XL, XXL                          38.00     white
Polo shirt                 Our pre-shrunk organic cotton polo shirt is perfect for weekend activities, lounging around the house, and casual days at the office. With its triple-stitched sleeves and waistband, our polo has maximum durability.                                 Men’s S, M, L, XL, XXL                          38.00     olive
Polo shirt                 Our pre-shrunk organic cotton polo shirt is perfect for weekend activities, lounging around the house, and casual days at the office. With its triple-stitched sleeves and waistband, our polo has maximum durability.                                 Men’s S, M, L, XL, XXL                          38.00     natural
Polo shirt                 Our pre-shrunk organic cotton polo shirt is perfect for weekend activities, lounging around the house, and casual days at the office. With its triple-stitched sleeves and waistband, our polo has maximum durability.                                 Men’s S, M, L, XL, XXL                          38.00     olive
Polo shirt                 Our pre-shrunk organic cotton polo shirt is perfect for weekend activities, lounging around the house, and casual days at the office. With its triple-stitched sleeves and waistband, our polo has maximum durability.                                 Men’s S, M, L, XL, XXL                          38.00     aqua
Slicker jacket             Wind and rain are no match for our organic bamboo slicker jacket for men and women.  Triple stitched seams, zippered pockets, and a stay-tight hood are just a few features of our best-selling jacket.                                                Men’s S, M, L, XL, XXL; Women’s P, S, M, L, XL  125.00    navy
Slicker jacket             Wind and rain are no match for our organic bamboo slicker jacket for men and women.  Triple stitched seams, zippered pockets, and a stay-tight hood are just a few features of our best-selling jacket.                                                Men’s S, M, L, XL, XXL; Women’s P, S, M, L, XL  125.00    gray
Stretchy dance pants       Whether dancing the samba, mastering a yoga pose, or scaling the climbing wall, our stretchy dance pants, made from 80% organic cotton and 20% Lycra, are the most versatile and comfortable workout pants you’ll ever have the pleasure of wearing.   Women’s P, S, M, L, XL                          85.00     black
Stretchy dance pants       Whether dancing the samba, mastering a yoga pose, or scaling the climbing wall, our stretchy dance pants, made from 80% organic cotton and 20% Lycra, are the most versatile and comfortable workout pants you’ll ever have the pleasure of wearing.   Women’s P, S, M, L, XL                          85.00     gray
Thermal fleece jacket      Our thermal organic fleece jacket, is brushed on both sides for ultra softness and warmth. This medium-weight jacket is versatile all year around, and can be worn with layers for the winter season.                                                  Men’s S, M, L, XL, XXL                          85.00     brown
Thermal vest               Our thermal vest, made from organic bamboo with recycled plastic down filling, is a favorite of both men and women. You’ll help the environment, and have a wear-easy piece for many occasions.                                                        Men’s S, M, L, XL, XXL; Women’s P, S, M, L, XL  95.00     navy
Thermal vest               Our thermal vest, made from organic bamboo with recycled plastic down filling, is a favorite of both men and women. You’ll help the environment, and have a wear-easy piece for many occasions.                                                        Men’s S, M, L, XL, XXL; Women’s P, S, M, L, XL  95.00     black
Thermal vest               Our thermal vest, made from organic bamboo with recycled plastic down filling, is a favorite of both men and women. You’ll help the environment, and have a wear-easy piece for many occasions.                                                        Men’s S, M, L, XL, XXL; Women’s P, S, M, L, XL  95.00     navy
Ultra-soft tank            This versatile tank can be worn in the gym, under a blazer, or for a day out in the sun. Made from our patented organic bamboo and cotton mix, our ultra-soft tank never stops feeling soft, even when you forget the fabric softener.                 Women’s P, S, M, L, XL                          23.00     mint
Ultra-soft tank            This versatile tank can be worn in the gym, under a blazer, or for a day out in the sun. Made from our patented organic bamboo and cotton mix, our ultra-soft tank never stops feeling soft, even when you forget the fabric softener.                 Women’s P, S, M, L, XL                          23.00     natural
V-neck pullover            This organic hemp jersey pullover is perfect in a pinch. Wear for casual days at the office, a game of hoops after work, or running your weekend errands.                                                                                              Men’s S, M, L, XL, XXL                          35.00     brown
V-neck pullover            This organic hemp jersey pullover is perfect in a pinch. Wear for casual days at the office, a game of hoops after work, or running your weekend errands.                                                                                              Men’s S, M, L, XL, XXL                          35.00     navy
V-neck sweater             This medium-weight sweater, made from organic knitted cotton and bamboo, is the perfect solution to a chilly night at the campground or a misty walk on the beach.                                                                                     Men’s S, M, L, XL, XXL                          65.00     evergreen
V-neck T-shirt             Our pre-shrunk organic cotton V-neck T-shirt is the ultimate in comfort and durability, with triple stitching at the collar, sleeves, and waist. So versatile you’ll want one in every color!                                                          Men’s S, M, L, XL, XXL                          28.00     evergreen
V-neck T-shirt             Our pre-shrunk organic cotton T-shirt, with its slightly fitted waist and elegant V-neck is designed to flatter. You’ll want one in every color!                                                                                                       Women’s P, S, M, L, XL                          26.00     mint
V-neck T-shirt             Our pre-shrunk organic cotton V-neck T-shirt is the ultimate in comfort and durability, with triple stitching at the collar, sleeves, and waist. So versatile you’ll want one in every color!                                                          Men’s S, M, L, XL, XXL                          28.00     olive
V-neck T-shirt             Our pre-shrunk organic cotton V-neck T-shirt is the ultimate in comfort and durability, with triple stitching at the collar, sleeves, and waist. So versatile you’ll want one in every color!                                                          Men’s S, M, L, XL, XXL                          28.00     olive
V-neck T-shirt             Our pre-shrunk organic cotton T-shirt, with its slightly fitted waist and elegant V-neck is designed to flatter. You’ll want one in every color!                                                                                                       Women’s P, S, M, L, XL                          26.00     gray
V-neck T-shirt             Our pre-shrunk organic cotton T-shirt, with its slightly fitted waist and elegant V-neck is designed to flatter. You’ll want one in every color!                                                                                                       Women’s P, S, M, L, XL                          26.00     red
V-neck T-shirt             Our pre-shrunk organic cotton T-shirt, with its slightly fitted waist and elegant V-neck is designed to flatter. You’ll want one in every color!                                                                                                       Women’s P, S, M, L, XL                          26.00     navy
V-neck T-shirt             Our pre-shrunk organic cotton T-shirt, with its slightly fitted waist and elegant V-neck is designed to flatter. You’ll want one in every color!                                                                                                       Women’s P, S, M, L, XL                          26.00     aqua
V-neck T-shirt             Our pre-shrunk organic cotton V-neck T-shirt is the ultimate in comfort and durability, with triple stitching at the collar, sleeves, and waist. So versatile you’ll want one in every color!                                                          Men’s S, M, L, XL, XXL                          28.00     goldenrod
V-neck T-shirt             Our pre-shrunk organic cotton V-neck T-shirt is the ultimate in comfort and durability, with triple stitching at the collar, sleeves, and waist. So versatile you’ll want one in every color!                                                          Men’s S, M, L, XL, XXL                          28.00     black
V-neck T-shirt             Our pre-shrunk organic cotton V-neck T-shirt is the ultimate in comfort and durability, with triple stitching at the collar, sleeves, and waist. So versatile you’ll want one in every color!                                                          Men’s S, M, L, XL, XXL                          28.00     evergreen
V-neck T-shirt             Our pre-shrunk organic cotton V-neck T-shirt is the ultimate in comfort and durability, with triple stitching at the collar, sleeves, and waist. So versatile you’ll want one in every color!                                                          Men’s S, M, L, XL, XXL                          28.00     rose
V-neck T-shirt             Our pre-shrunk organic cotton T-shirt, with its slightly fitted waist and elegant V-neck is designed to flatter. You’ll want one in every color!                                                                                                       Women’s P, S, M, L, XL                          26.00     grape
V-neck T-shirt             Our pre-shrunk organic cotton V-neck T-shirt is the ultimate in comfort and durability, with triple stitching at the collar, sleeves, and waist. So versatile you’ll want one in every color!                                                          Men’s S, M, L, XL, XXL                          28.00     chocolate
